student_repository_url,group_name,reviewer
https://github.com/math241s24/project-02-morgenk,morgenk,Kiana
https://github.com/math241s24/project-02-prasiddhi,prasiddhi,Jratliffjr
https://github.com/math241s24/project-02-willowwhite37,willowwhite37,zdraj
https://github.com/math241s24/project-02-zdraj,zdraj,prasiddhi
https://github.com/math241s24/project-02-jratliffjr,Jratliffjr,cat
https://github.com/math241s24/project-02-state_constitution,state_constitution,harpergusemma
https://github.com/math241s24/project-02-t1w,T1W,state_constitution
https://github.com/math241s24/project-02-cat,cat,willowwhite37
https://github.com/math241s24/project-02-rosa1,Rosa1,Team Dashiell's Team
https://github.com/math241s24/project-02-team-dashiell-s-team,Team Dashiell's Team,Rosa1
https://github.com/math241s24/project-02-omar,omar,chnewell
https://github.com/math241s24/project-02-neural_networks,neural_networks,T1W
https://github.com/math241s24/project-02-chnewell,chnewell,Jratliffjr
https://github.com/math241s24/project-02-bookish_trends,bookish_trends,morgenk
https://github.com/math241s24/project-02-kiana,Kiana,omar
https://github.com/math241s24/project-02-harpergusemma,harpergusemma,neural_networks